status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
usable,right,2956.875,277,93.1932516,2944.0,8684.982143,12605.375,1191,399.440658,12555.5,159552.8393,5612.375,507,170.6457797,5583.0,29119.98214,16596.0,1555,521.331811,16522.5,271786.8571,24810.25,883,283.9460462,24807.0,80625.35714,27242.75,1066,324.5245974,27270.0,105316.2143,24093.25,1050,321.6252256,24146.5,103442.7857,12311.375,525,163.2595983,12340.0,26653.69643,3382.5,110,36.81614553,3394.0,1355.428571
usable,right,3062.375,124,38.58177771,3062.5,1488.553571,13054.125,540,168.0522347,13057.5,28241.55357,5820.375,229,70.85989698,5825.0,5021.125,17197.75,666,208.2098872,17204.5,43351.35714,25284.0,564,224.5038975,25344.0,50402.0,27783.25,545,216.819049,27866.5,47010.5,24601.875,426,166.9066784,24654.5,27857.83929,12572.875,215,84.42145547,12599.0,7126.982143,3442.5,61,24.2899156,3451.0,590.0
usable,right,3131.875,59,21.06749358,3139.0,443.8392857,13353.375,257,92.73300768,13385.5,8599.410714,5954.25,108,39.68716957,5968.5,1575.071429,17591.25,322,115.7333759,17631.5,13394.21429,25822.625,358,100.9496869,25818.5,10190.83929,28283.125,332,98.06329953,28288.5,9616.410714,24986.75,237,80.00312494,24984.5,6400.5,12772.375,119,40.35888113,12771.0,1628.839286,3498.75,34,10.41633333,3498.5,108.5
usable,right,3095.0,55,19.79177318,3090.0,391.7142857,13197.125,241,87.64121258,13176.0,7680.982143,5894.125,102,40.63931067,5891.0,1651.553571,17401.75,313,118.1533507,17384.5,13960.21429,25551.0,850,271.2853005,25568.5,73595.71429,27975.875,933,295.2952215,27995.0,87199.26786,24704.625,808,257.2036089,24710.5,66153.69643,12633.375,405,129.285882,12636.5,16714.83929,3465.75,104,33.16517106,3468.0,1099.928571
not_usable,moving,2810.5,1266,500.0705664,3101.0,250070.5714,11966.75,5431,2140.894589,13211.5,4583429.643,5322.5,2455,973.7905319,5892.5,948268.0,15820.75,7028,2758.640128,17409.5,7610095.357,23114.5,10699,4413.015781,24896.0,19474708.29,25097.625,11845,4923.547732,27089.5,24241322.27,21969.625,10574,4392.104212,23821.5,19290579.41,11227.125,5425,2257.982566,12188.5,5098485.268,3286.375,805,318.9357022,3404.5,101719.9821
not_usable,moving,1767.125,514,157.8330379,1753.5,24911.26786,7453.375,2259,691.8023949,7397.0,478590.5536,3302.5,942,290.0551672,3275.5,84132.0,9939.125,2964,909.9138794,9858.5,827943.2679,14756.625,6910,2082.036842,14364.5,4334877.411,16003.0,7415,2233.646666,15603.0,4989177.429,14083.75,6257,1879.944357,13763.0,3534190.786,7206.875,3153,947.9443078,7045.5,898598.4107,2654.0,766,222.767656,2614.0,49625.42857
not_usable,inclined,1816.875,144,58.12409754,1811.0,3378.410714,7652.125,635,255.7210743,7626.5,65393.26786,3397.125,264,109.1727825,3393.0,11918.69643,10252.875,823,339.0143012,10237.0,114930.6964,15106.75,709,249.8758263,15053.5,62437.92857,16321.375,787,278.1612777,16257.5,77373.69643,14322.875,695,244.7666162,14263.0,59910.69643,7329.375,351,122.8982593,7297.5,15103.98214,2712.5,83,27.21344206,2708.0,740.5714286
not_usable,inclined,1832.5,86,27.26064668,1828.5,743.1428571,7714.25,376,120.8147933,7698.5,14596.21429,3437.875,161,50.31738552,3430.0,2531.839286,10371.875,500,155.9811687,10346.5,24330.125,15305.0,892,306.707399,15260.5,94069.42857,16547.25,983,337.6582169,16512.5,114013.0714,14530.125,848,288.559693,14509.5,83266.69643,7440.375,423,144.2715074,7428.0,20814.26786,2741.25,99,32.19915704,2730.0,1036.785714
not_usable,inclined,1836.0,95,34.83020036,1831.5,1213.142857,7725.5,410,149.5478901,7705.0,22364.57143,3448.5,177,64.89992296,3439.0,4212.0,10406.0,555,203.6635882,10378.5,41478.85714,15428.125,795,303.5774495,15390.5,92159.26786,16663.25,853,327.9362961,16618.5,107542.2143,14606.25,725,276.6760612,14565.0,76549.64286,7483.625,366,140.3912263,7462.5,19709.69643,2759.5,112,37.79266747,2757.5,1428.285714
not_usable,inclined,1941.875,105,32.64719415,1949.0,1065.839286,8178.25,444,137.9945651,8212.5,19042.5,3645.875,190,58.66719088,3659.0,3441.839286,11014.625,599,185.580893,11057.0,34440.26786,16140.875,958,292.5242053,16173.0,85570.41071,17440.0,953,298.3578867,17497.0,89017.42857,15274.75,758,242.6612866,15345.0,58884.5,7820.375,390,123.6723061,7852.5,15294.83929,2845.125,111,35.54649872,2852.5,1263.553571
not_usable,moving,3434.375,1722,555.5360185,3589.5,308620.2679,14829.0,7767,2482.747441,15440.5,6164034.857,6561.625,3414,1087.278771,6886.0,1182175.125,19301.125,9714,3070.320804,20102.0,9426869.839,28461.5,7228,2744.937938,29382.0,7534684.286,31240.0,8193,3106.189673,32198.5,9648414.286,27487.875,7202,2811.216282,28342.5,7902936.982,14015.375,3575,1389.150916,14405.5,1929740.268,3933.875,1025,388.7722203,4039.0,151143.8393
not_usable,moving,3488.25,1281,480.7820266,3318.5,231151.3571,15046.625,5747,2162.816216,14276.5,4677773.982,6593.5,2435,921.3043549,6289.5,848801.7143,19414.25,7086,2645.340256,18479.5,6997825.071,28326.75,16008,4738.44184,28223.5,22452831.07,31006.125,17444,5172.725185,30971.5,26757085.84,27251.625,15284,4570.964448,27189.0,20893715.98,13875.125,7721,2301.73068,13825.5,5297964.125,3920.125,2057,617.5052198,3875.0,381312.6964
not_usable,moving,3305.625,1274,521.0382321,3414.0,271480.8393,14332.0,5869,2371.670779,14793.5,5624822.286,6207.25,2463,990.825017,6411.0,981734.2143,18259.875,6893,2813.824567,18914.0,7917608.696,26615.375,20334,6480.24607,29112.5,41993589.13,28888.875,21879,6987.852735,31690.5,48830085.84,25181.125,18793,6013.028556,27715.5,36156512.41,12800.75,9376,2987.949404,14062.5,8927841.643,3629.625,2704,838.2757708,3959.5,702706.2679
not_usable,moving,3759.375,1388,443.4143298,3726.5,196616.2679,16276.75,6225,1978.859971,16113.0,3915886.786,7079.0,2616,837.4672701,7021.5,701351.4286,20848.25,7492,2415.82531,20690.5,5836211.929,30174.5,12619,4802.825002,29318.5,23067128.0,32492.0,13713,5053.355745,31846.0,25536404.29,28038.75,11656,4255.898688,27718.5,18112673.64,14262.875,5728,2143.276826,14086.5,4593635.554,4058.875,1542,583.6110342,3963.0,340601.8393
