status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
usable,right,2831.375,43,12.63710523,2834.0,159.6964286,11297.5,153,46.66904756,11309.5,2178.0,5020.0,83,27.28160029,5025.0,744.2857143,14742.125,318,102.3501518,14752.5,10475.55357,20797.375,487,154.1047302,20822.5,23748.26786,25108.0,388,124.3991272,25094.5,15475.14286,24922.375,416,121.8827745,24897.0,14855.41071,12932.375,169,48.48545437,12921.5,2350.839286,3251.625,56,16.22993266,3253.5,263.4107143
usable,right,2838.0,51,17.57433193,2841.0,308.8571429,11346.375,179,65.51976256,11360.0,4292.839286,5057.0,67,25.15097272,5065.5,632.5714286,14863.75,190,69.33098668,14880.0,4806.785714,21008.625,174,61.61617946,20990.5,3796.553571,25162.0,230,74.06367916,25164.5,5485.428571,24833.125,308,100.8583696,24847.0,10172.41071,12900.875,151,49.41207921,12910.5,2441.553571,3265.125,27,8.007808689,3263.5,64.125
usable,right,2795.625,170,59.79234901,2794.5,3575.125,11188.75,693,246.4570377,11181.0,60741.07143,4998.25,268,94.08924335,4994.5,8852.785714,14682.75,749,264.9958221,14680.0,70222.78571,20737.625,609,239.4517175,20638.0,57337.125,24848.125,732,272.7732902,24753.5,74405.26786,24513.75,770,269.9781737,24453.5,72888.21429,12735.75,382,133.7030291,12708.5,17876.5,3257.25,68,26.54780055,3249.0,704.7857143
usable,right,2808.0,41,11.86832519,2810.0,140.8571429,11232.375,153,45.4405027,11236.0,2064.839286,5016.875,66,19.06708083,5019.0,363.5535714,14721.875,185,54.80989874,14732.5,3004.125,20824.0,291,99.63218069,20791.0,9926.571429,24987.5,288,101.0982549,24953.0,10220.85714,24649.25,260,91.17447951,24609.5,8312.785714,12798.125,137,47.08787378,12780.0,2217.267857,3264.875,21,7.472568883,3263.0,55.83928571
not_usable,moving,2558.875,538,224.8748461,2557.0,50568.69643,10213.75,2199,916.2298137,10203.0,839477.0714,4592.125,917,383.7787449,4591.0,147286.125,13412.75,2738,1148.412538,13396.0,1318851.357,18619.75,3202,1406.906104,17682.0,1979384.786,22660.75,3452,1551.915291,21625.0,2408441.071,22580.625,3179,1447.278918,21660.5,2094616.268,11780.75,1603,716.346634,11335.0,513152.5,2939.75,484,215.9872681,2797.0,46650.5
not_usable,inclined,2390.125,51,18.48889628,2382.0,341.8392857,9532.125,220,78.47554214,9499.0,6158.410714,4307.75,92,32.37172488,4293.5,1047.928571,12618.625,254,92.85155203,12593.0,8621.410714,17980.125,267,102.2006954,17978.5,10444.98214,21842.25,340,114.1211762,21878.5,13023.64286,21622.75,358,132.2970143,21672.0,17502.5,11303.625,183,67.96834873,11328.5,4619.696429,2811.125,37,13.18481269,2814.5,173.8392857
not_usable,inclined,2324.875,158,54.73165055,2329.5,2995.553571,9260.0,650,225.2985321,9281.5,50759.42857,4202.25,280,96.13049167,4211.0,9241.071429,12379.125,825,271.6633618,12395.0,73800.98214,17760.25,812,310.7133498,17772.5,96542.78571,21446.125,916,362.8366171,21484.5,131650.4107,21002.25,911,369.0790662,21060.0,136219.3571,10985.125,447,182.0505719,11008.0,33142.41071,2772.0,102,39.60519446,2770.5,1568.571429
not_usable,inclined,2286.0,52,16.02676333,2283.5,256.8571429,9105.625,188,61.36527054,9097.0,3765.696429,4129.625,92,28.96272235,4123.5,838.8392857,12143.25,200,72.91629252,12131.0,5316.785714,17472.25,233,84.64505723,17464.0,7164.785714,21134.75,327,119.2904618,21181.5,14230.21429,20714.0,489,172.9739865,20767.0,29920.0,10831.75,239,85.06426142,10855.5,7235.928571,2723.0,37,13.22335596,2728.5,174.8571429
not_usable,moving,2178.125,756,246.3803317,2255.5,60703.26786,8658.625,3009,979.7085481,8972.0,959828.8393,3942.125,1363,443.5765154,4081.0,196760.125,11644.125,4055,1324.280553,12056.0,1753718.982,17190.375,2062,740.2188745,17308.0,547923.9821,20675.375,2701,960.1944651,20840.0,921973.4107,20126.875,2802,983.8368676,20292.5,967934.9821,10547.625,1410,490.724519,10632.5,240810.5536,2677.875,405,137.7870381,2710.5,18985.26786
not_usable,moving,2249.5,1200,371.7260896,2254.5,138180.2857,9054.125,4707,1477.842968,9033.5,2184019.839,4062.5,2040,647.7457614,4077.0,419574.5714,11737.5,6111,1976.217455,11856.5,3905435.429,17413.375,5882,2669.021594,17758.5,7123676.268,21489.25,6799,3059.269089,21733.5,9359127.357,21874.875,6224,2764.264068,21838.0,7641155.839,11446.375,3156,1409.002478,11426.0,1985287.982,2823.875,642,285.245477,2852.5,81364.98214
